,T_id,doi,title,abstract,authors,year,publisher,relevant
28692,TA044879,10.3390/foods10102304,Chemical Constituents of the Essential Oil Extracted from Elsholtzia densa andTheir Insecticidal Activity against Tribolium castaneum and Lasiodermaserricorne.,"Storage pests pose a great threat to global food security. Here, we found thatthe essential oil (EO) extracted from E. densa possesses obvious effects againstthe insects that threaten stored-products. In this work, we investigated thechemical constituents of the essential oil extracted from Elsholtzia densa, andtheir insecticidal (contact and fumigant) toxicity against Tribolium castaneumand Lasioderma serricorne. A total of 45 compounds were identified by GC-MS,accounting for 98.74% of the total EO. Meanwhile, 11 compounds were isolated fromthe EO, including limonene, β-caryophyllene, ρ-cymene, trans-phytol, α-terpineol,linalool, acetophenone, 1,8-cineole, ρ-cymen-7-ol, 1-O-cerotoylgly-cerol, andpalmitic acid. Furthermore, acetophenone, ρ-cymen-7-ol, and 1-O-cerotoylgly-cerolwere isolated for the first time from Elsholtzia spp. The results of thebioassays indicated that the EO had the property of insecticidal toxicity againstT. castaneum and L. serricorne. All of the compounds showed different levels ofinsecticidal toxicity against the two species of insects. Among them,2-ethyl-1H-imidazole had no insecticidal toxicity against T. castaneum, butpossessed fumigant and obvious contact toxicity against L. serricorne.ρ-Cymen-7-ol had beneficial insecticidal toxicity against the two species ofinsects, and fumigant toxicity against L. serricorne. ρ-Cymen-7-ol (LD(50) =13.30 μg/adult), 1-octen-3-ol (LD(50) = 13.52 μg/adult), and 3-octanol (LD(50) =17.45 μg/adult) showed significant contact toxicity against T. castaneum.Acetophenone (LD(50) = 7.07 μg/adult) and ρ-cymen-7-ol (LD(50) = 8.42 μg/adult)showed strong contact toxicity against L. serricorne. ρ-Cymene (LC(50) = 10.91mg/L air) and ρ-cymen-7-ol (LC(50) = 10.47 mg/L air) showed powerful fumiganttoxicity to T. castaneum. Limonene (LC(50) = 5.56 mg/L air), acetophenone (LC(50)= 5.47 mg/L air), and 3-octanol (LC(50) = 5.05 mg/L air) showed obvious fumiganttoxicity against L. serricorne. In addition, the EO and its chemical compoundspossessed different levels of repellent activity. This work provides someevidence of the value of exploring these materials for insecticidal activity, forhuman health purposes. We suggest that the EO extracted from E. densa may havethe potential to be developed as an insecticidal agent against stored productinsect pests.","Liang, Junyu, Shao, Yazhou, Wu, Haoshu, An, Yue, Wang, Junlong, Zhang, Ji, Kong, Weibao",2021,"Foods (Basel, Switzerland)",2
29194,TA045385,10.3390/ijms22041714,"Cytotoxic Potential of a-Azepano- and 3-Amino-3,4-SeCo-Triterpenoids.","Semi-synthetic triterpenoids, holding an amino substituted seven-membered A-ring(azepano-ring), which could be synthesized from triterpenic oximes through aBeckmann type rearrangement followed by a reduction of lactame fragment, areconsidered to be novel promising agents exhibiting anti-microbial,alpha-glucosidase, and butyrylcholinesterase inhibitory activities. In thisstudy, in an attempt to develop new antitumor candidates, a series of A-ringazepano- and 3-amino-3,4-seco-derivatives of betulin, oleanolic, ursolic, andglycyrrhetinic acids were evaluated for their cytotoxic activity against fivehuman cancer cell lines and non-malignant mouse fibroblasts by means of acolorimetric sulforhodamine assay. Azepanoallobetulinic acid amide derivative 11was the most cytotoxic compound of this series but showed little selectivitybetween the different human tumor cell lines. Flow cytometry experiments showedcompound 11 to act mainly by apoptosis (44.3%) and late apoptosis (21.4%). Thecompounds were further screened at the National Cancer Institute towards a panelof 60 cancer cell lines. It was found that compounds 3, 4, 7, 8, 9, 11, 15, 16,19, and 20 showed growth inhibitory (GI(50)) against the most sensitive celllines at submicromolar concentrations (0.20-0.94 μM), and their cytotoxicactivity (LC(50)) was also high (1-6 μM). Derivatives 3, 8, 11, 15, and 16demonstrated a certain selectivity profile at GI(50) level from 5.16 to 9.56towards K-562, CCRF-CEM, HL-60(TB), and RPMI-8226 (Leukemia), HT29 (Coloncancer), and OVCAR-4 (Ovarian cancer) cell lines. Selectivity indexes ofazepanoerythrodiol 3 at TGI level ranged from 5.93 (CNS cancer cell lines SF-539,SNB-19 and SNB-75) to 14.89 for HCT-116 (colon cancer) with SI 9.56 at GI(50)level for the leukemia cell line K-562. The present study highlighted theimportance of A-azepano-ring in the triterpenic core for the development of novelantitumor agents, and a future aim to increase the selectivity profile will thuslie in the area of modifications of azepano-triterpenic acids at their carboxylgroup.","Kazakova, Oxana, Smirnova, Irina, Tret'yakova, Elena, Csuk, René, Hoenke, Sophie, Fischer, Lucie",2021,International journal of molecular sciences,2
29291,TA045482,10.1080/13880209.2020.1867197,Ginsenoside Rg2 alleviates myocardial fibrosis by regulating TGF-β1/Smadsignalling pathway.,"CONTEXT: Panax ginseng C.A. Meyer (Araliaceae) has cardioprotective effects.Ginsenosides are responsible for most of the pharmacological activities ofginseng. OBJECTIVE: This study investigates the effect of ginsenoside Rg2 onmyocardial fibrosis in myocardial ischaemia rats. MATERIALS AND METHODS: MaleWistar rats were divided into control, isoproterenol, ginsenoside Rg2 (5,20 mg/kg) groups (n = 8). The rats were subcutaneously injected withisoproterenol (5 mg/kg) or normal saline (control group) once daily for 7 days.The animals were intragastrically treated with ginsenoside Rg2 or 0.5% CMC-Na(control and isoproterenol groups) daily for 28 days. At day 28, cardiacfunction, myocardial fibrosis, and TGF-β1/Smad signalling pathway were evaluated.RESULTS: Compared with myocardial ischaemic rats, ginsenoside Rg2 at doses of 5,20 mg/kg abated partially the augment of LVEDP (8.9 ± 1.3 vs. 7.5 ± 0.7,7.2 ± 1.0 mmHg) and the decreases of the LVSP (96.75 ± 13.2 vs. 118.3 ± 19.4,124.3 ± 21.3 mmHg), the + dp/dt (2142.8 ± 309.3 vs. 2598.6 ± 404.0,2661.5 ± 445.2 mmHg/s), and the -dp/dt (1996.3 ± 306.3 vs. 2476.6 ± 289.7,2509.6 ± 353.1 mmHg/s). Ginsenoside Rg2 (9.2 ± 0.9%, 8.5 ± 0.8%) alleviatedmyocardial fibrosis when compared with the isoproterenol group (10.1 ± 1.0%),which was accompanied by suppressed TGF-β1/Smad signalling in heart tissues.CONCLUSIONS: Ginsenosides from ginseng possess the property of alleviatingmyocardial fibrosis, improving cardiac function after myocardial ischaemia.Ginsenosides may be promising agents for improving the outcomes of patients withmyocardial ischaemia.","Wang, Quanwei, Fu, Wenwen, Yu, Xiaofeng, Xu, Huali, Sui, Dayun, Wang, Yeling",2021,Pharmaceutical biology,2
30733,TA046930,10.1155/2020/8565760,Catharanthus roseus Combined with Ursolic Acid Attenuates Streptozotocin-InducedDiabetes through Insulin Secretion and Glycogen Storage.,"Catharanthus roseus (C. roseus) and ursolic acid (UA) are ayurvedic medicineswith multiple pharmacological activities including antidiabetic activity, buttill date, no study is available on their combination. This study documented theantidiabetic efficacy of the combination of C. roseus and UA in rats. Rats weredivided into six groups. All groups were given a single dose of Streptozotocin(STZ) at a dose of 50 mg/kg by intraperitoneal route for induction of diabetes,except the normal control group. Group 1 was treated as a normal control (NC)group and fed with saline water, Group 2 as a Diabetes Control group, Group 3 asa STZ+C. roseus ethanolic extract (CREE) group at 50 mg/kg p.o., Group 4 as aSTZ+UA group orally at 50 mg/kg, Group 5 as a STZ+CREE (25 mg/kg p.o.)+UA(25 mg/kg p.o.) group, and Group 6 as a STZ+Glimepiride (0.1 mg/kg) group.Diabetes was confirmed after 72 hours by estimation of blood glucose level, andthen treatment was given for the next 28 days. During the course of treatment,plasma insulin and blood glucose were measured regularly at the interval of 7days. At the end of the protocol, blood was collected and animals weresacrificed. The glucose level, insulin level, liver glycogen storage level, andantioxidant enzymes (LPO, CAT, SOD, GPx, GST) were measured. The blood glucoselevel in Group 5 significantly (P < 0.001) reduced to 98.35 ± 2.45 mg/dl incomparison with that in Group 2 (321.75 ± 5.46 mg/dl). The level of plasmainsulin in Group 5 increased (13.65 ± 0.10 μU/ml) significantly (P < 0.01) ascompared with that in Group 2 (05.93 ± 0.31 μU/ml). In Group 5, the level ofglycogen in liver was significantly (P < 0.01) increased as compared with that inGroup 2 rats. The level of antioxidant enzymes in Group 5 restored toward normalvalues significantly (P < 0.01; P < 0.001) as compared with that in Group 2animals. These findings suggest that low-dose combination of CREE and UA iseffective in the treatment of diabetes.","Alkreathy, Huda Mohammed, Ahmad, Aftab",2020,Oxidative medicine and cellular longevity,2
30736,TA046933,10.1590/S1678-9946202062097,Anti-Zika virus activity of several abietane-type ferruginol analogues.,"Abietane diterpenoids are naturally occurring plant metabolites with a broadspectrum of biological effects including antibacterial, antileishmanial,antitumor, antioxidant, as well as antiinflammatory activities. Recently, wefound that some analogues of natural ferruginol ( 2 ) actively inhibited denguevirus 2 (DENV-2) replication. Due to the similarity with DENV, we envisaged thatabietane diterpenoids would also be active against Zika virus (ZIKV). Sixselected semi-synthetic abietane derivatives of (+)-dehydroabietylamine ( 3 )were tested. Cytotoxicity was determined by MTT assay in Vero cells. In vitroanti-ZIKV (clinical isolate, IMT17) activity was evaluated by plaque assay.Interestingly, these molecules showed potential as anti-ZIKV agents, with EC50values ranging from 0.67 to 18.57 µM, and cytotoxicity (CC50 values) from 2.56 to35.09 µM. The 18-Oxoferruginol (8) (EC50 = 2.60 µM, SI = 13.51) and12-nitro-N-benzoyldehydroabietylamine (9) (EC50= 0.67 µM, SI = 3.82) were themost active compounds, followed by 12-hydroxy-N-tosyldehydroabietylamine ( 7 )(EC50 = 3.58 µM, SI = 3.20) and 12-hydroxy-N,N-phthaloyldehydroabietylamine ( 5 )(EC50 = 7.76 µM, SI = 1.23). To the best of our knowledge, this is the firstreport on anti-Zika virus properties of abietanes.","Sousa, Francielle T G, Nunes, Cristina, Romano, Camila Malta, Sabino, Ester Cerdeira, González-Cardenete, Miguel Angel",2020,Revista do Instituto de Medicina Tropical de Sao Paulo,2
31154,TA047353,10.1371/journal.pone.0238532,The potential antimalarial efficacy of hemocompatible silver nanoparticles fromArtemisia species against P. falciparum parasite.,"Malaria represents one of the most common infectious diseases which becoming animpellent public health problem worldwide. Antimalarial classical medicationsinclude quinine-based drugs, like chloroquine, and artesunate, a derivative ofartemisinin, a molecule found in the plant Artemisia annua. Such therapeutics arevery effective but show heavy side effects like drug resistance. In this study,""green"" silver nanoparticles (AgNPs) have been prepared from two Artemisiaspecies (A. abrotanum and A. arborescens), traditionally used in folk medicine asa remedy for different conditions, and their potential antimalarial efficacy havebeen assessed. AgNPs have been characterized by UV-Vis, dynamic light scatteringand zeta potential, FTIR, XRD, TEM and EDX. The structural characterization hasdemonstrated the spheroidal shape of nanoparticles and dimensions under 50 nm,useful for biomedical studies. Zeta potential analysis have shown the stabilityand dispersion of green AgNPs in aqueous medium without aggregation. AgNPshemocompatibility and antimalarial activity have been studied in Plasmodiumfalciparum cultures in in vitro experiments. The antiplasmodial effect has beenassessed using increasing doses of AgNPs (0.6 to 7.5 μg/mL) on parasitized redblood cells (pRBCs). Obtained data showed that the hemocompatibility of AgNPs isrelated to their synthetic route and depends on the administered dose. A.abrotanum-AgNPs (1) have shown the lowest percentage of hemolytic activity onpRBCs, underlining their hemocompatibility. These results are in accordance withthe lower levels of parasitemia observed after A. abrotanum-AgNPs (1) treatmentrespect to A. arborescens-AgNPs (2), and AgNPs (3) derived from a classicalchemical synthesis. Moreover, after 24 and 48 hours of A. abrotanum-AgNPs (1)treatment, the parasite growth was locked in the ring stage, evidencing theeffect of these nanoparticles to hinder the maturation of P. falciparum. Theanti-malarial activity of A. abrotanum-AgNPs (1) on pRBCs was demonstrated to behigher than that of A. arborescens-AgNPs (2).","Avitabile, Elisabetta, Senes, Nina, D'Avino, Cristina, Tsamesidis, Ioannis, Pinna, Alessandra, Medici, Serenella, Pantaleo, Antonella",2020,PloS one,2
31636,TA047837,10.3727/096504020X15853075736554,Corosolic Acid Inhibits Cancer Progress Through Inactivating YAP inHepatocellular Carcinoma.,"Chemotherapy is critical for the treatment of hepatocellular carcinoma (HCC).Despite the proapoptotic effects of corosolic acid (CA) treatment, its underlyingmechanism is not completely clear. The aim of this study was to determine themolecular mechanism of CA in HCC treatment. MTT assay was used to determine theIC(50) of CA. Immunoprecipitation and immunofluorescence were used to detect theinteraction and subcellular localization of Yes-associated protein (YAP) andmouse double minute 2 (MDM2). In addition, in vivo xenotransplantation wasperformed to assess the effects of CA, YAP, and MDM2 on tumorigenesis. The IC(50)of CA was about 40 M in different HCC cell lines, and CA decreased YAP expressionby reducing its stability and increasing its ubiquitination. CA treatment andMDM2 overexpression significantly decreased the crosstalk between YAP andcAMP-responsive element-binding protein (CREB), TEA domain transcription factor(TEAD), and Runt-related transcription factor 2 (Runx2). CA stimulation promotedthe translocation of YAP and MDM2 from the nucleus to the cytoplasm and increasedtheir binding. In addition, CA treatment obviously reduced tumorigenesis, whereasthis effect was abolished when cells were transfected with sh-MDM2 or Vector-YAP.The present study uncovered that CA induced cancer progress repression throughtranslocating YAP from the nucleus in HCC, which might provide a new therapeutictarget for HCC.","Jia, Ming, Xiong, Yulin, Li, Maoshi, Mao, Qing",2020,Oncology research,2
31642,TA047843,10.1186/s12879-020-05556-9,Antiviral mechanism of carvacrol on HSV-2 infectivity through inhibition ofRIP3-mediated programmed cell necrosis pathway and ubiquitin-proteasome system inBSC-1 cells.,"BACKGROUND: Carvacrol, as the major components of aromatic plants used fortreating human skin diseases including origanum, Satureja, thymus, andcoridothymus species, presented a kind of antiviral activity. To explore themechanisms of carvacrol against herpes simplex virus (HSV) in vitro. METHOD: TheBSC-1 cells model of HSV infection was established, and from the two aspects ofviral replication level and cell death pathway, the antiviral effects ofcarvacrol on HSV infected cells were also evaluated by plaque assay under thethree modes including prevention, treatment, and direct inactivation. RESULTS: Inthe three ways, the half-maximal effective concentration (EC(50)) of 2% truecarvacrol solution on HSV-2 infected cells were severally 0.43, 0.19 and0.51 mmol/L, and the corresponding therapeutic index (TI) were 4.02, 9.11 and3.39, respectively. It's the opposite of the increased levels caused by HSV-2infection, that both the expressions at the transcription genes and proteinlevels of virus own replication key factors (including ICP4, ICP27, VP16, gB, andUL30) and cytokines (including RIP3, TNF-α, and MLKL) of infected cells treatedwith carvacrol were dose-dependently inhibited. Besides, HSV-2 infection cancause the decrease of intracellular protein ubiquitination level, and carvacrolcan reverse the ubiquitination decrease level caused by HSV-2 infection.CONCLUSION: Carvacrol exhibits significant antiviral activity by inhibiting theHSV-2 proliferation process and HSV-2-induced TNF-α increasing levels, decreasingRIP3 and MLKL protein expressions through the intracellular RIP3-mediatedprogrammed cell necrosis pathway. In addition, carvacrol also may exhibitanti-HSV-2 activity by reversing the ubiquitination decrease level caused byHSV-2 infection on the ubiquitin-proteasome system, which provides insights intothe molecular mechanism.","Wang, Li, Wang, Dan, Wu, Xingan, Xu, Rui, Li, Yunlan",2020,BMC infectious diseases,2
31725,TA047926,10.1155/2020/7963212,Triterpenoid Saponin AG8 from Ardisia gigantifolia stapf. Induces Triple NegativeBreast Cancer Cells Apoptosis through Oxidative Stress Pathway.,"Triple-negative breast cancers (TNBCs) are associated with poor patient survivalbecause of the absence of estrogen receptor (ER), progesterone receptor (PR), andhuman epidermal growth factor receptor 2 (HER2) expressions. Our previous studieshave shown that the triterpenoid saponin AG8 from Ardisia gigantifolia stapf.inhibits the proliferation of MDA-MB-231 cells. In this study, the effects of AG8were further analyzed in different TNBC cell types: MDA-MB-231, BT-549, andMDA-MB-157 cells. AG8 inhibited the viability of MDA-MB-231, BT-549, andMDA-MB-157 cells in a dose-dependent manner and showed stronger cytotoxicity toAfrican American (AA) and mesenchymal (M) subtypes than Caucasian (CA) andmesenchymal stem-like (MSL) subtypes, respectively. AG8 impaired the uptake ofMitoTracker Red CMXRos by the mitochondria of TNBC cells in a dose-dependentmanner, and this was recovered by N-acetyl-l-cysteine (NAC). AG8 affected GSH,SOD, and MDA levels of TNBC cells, but different TNBC subtypes had differentsensitivities to AG8 and NAC. In addition, we found that AG8 increased theBax/Bcl-2 ratio and the levels of cytoplasmic cytochrome c and significantlydecreased phosphorylation of ERK and AKT in BT549 and MDA-MB-157 cells. AG8elicited its anticancer effects through ROS generation, ERK and AKT activation,and by triggering mitochondrial apoptotic pathways in TNBC cells. AG8 hadselective cytotoxic effects against the AA and M TNBC subtypes and markedlyinduced MDA-MB-157 (AA subtype) cell apoptosis through pathways that were notassociated with ROS, which was different from the other two subtypes. Theunderlying mechanisms should be further investigated.","Mu, Li-Hua, Wang, Li-Hua, Yu, Teng-Fei, Wang, Yu-Ning, Yan, Hong, Liu, Ping, Yan, Can",2020,Oxidative medicine and cellular longevity,2
31920,TA048121,10.3390/md17100550,"Asperienes A-D, Bioactive Sesquiterpenes from the Marine-Derived FungusAspergillus flavus.","Marine-derived fungi of the genera Aspergillus could produce novel compounds withsignificant bioactivities. Among these fungi, the strain Aspergillus flavus isnotorious for its mutagenic mycotoxins production. However, some minor componentswith certain toxicities from A. flavus have not been specifically surveyed andmight have potent biological activities. Our investigation of the marine-derivedfungus Aspergillus flavus CF13-11 cultured in solid medium led to the isolationof four C-6'/C-7' epimeric drimane sesquiterpene esters, asperienes A-D (1-4).Their absolute configurations were assigned by electronic circular dichroism(ECD) and Snatzke's methods. This is the first time that two pairs of C-6'/C-7'epimeric drimane sesquiterpene esters have successfully been separated. AperienesA-D (1-4) displayed potent bioactivities towards four cell lines with the IC(50)values ranging from 1.4 to 8.3 μM. Interestingly, compounds 1 and 4 exhibitedlower toxicities than 2 and 3 toward normal GES-1 cells, indicating morepotential for development as an antitumor agent in the future.","Liu, Yun-Feng, Yue, Yu-Fei, Feng, Li-Xi, Zhu, Hua-Jie, Cao, Fei",2019,Marine drugs,2
32304,TA048510,10.3390/md17110628,Effects of Astaxanthin from Shrimp Shell on Oxidative Stress and Behavior inAnimal Model of Alzheimer's Disease.,"This study aimed to investigate the effect of astaxanthin (ASX) extracted and ASXpowder from shrimp (Litopenaeus vannamei) shells on Wistar rats with Alzheimer'sdisease, induced by amyloid-β (1-42) peptides. In this task, the rats weredivided into eight groups: (1) Control, (2) sham operate, (3) negative control(vehicle) + Aβ(1-42), (4) ASX extract+Aβ(1-42), (5) commercial ASX + Aβ(1-42),(6) ASX powder + Aβ(1-42), (7) blank powder + Aβ(1-42), and (8) vitamin E +Aβ(1-42). All treatments were orally administrated for 30 days. At 14- and29-days post injection, animals were observed in behavioral tests. On the 31stday, animals were sacrificed; the hippocampus and cortex were collected. Thosetwo brain areas were then homogenized and stored for biochemical and histologicalanalysis. The results showed that the Aβ(1-42) infused group significantlyreduced cognitive ability and increased memory loss, as assessed by the Morriswater maze test, novel object recognition test, and novel object location test.Moreover, the Aβ(1-42) infused group exhibited a deterioration of oxidativemarkers, including glutathione peroxidase enzymes (GPx), lipid peroxidation(MDA), products of protein oxidation, and superoxide anion in the cortex and thehippocampus. Meanwhile, ASX powder (10 mg/kg body weight) showed a significantreduction in cognitive and memory impairments and oxidative stress which isgreater than ASX extract in the same dose of compound or vitamin E (100 mg/kgbody weight). Our study indicates the beneficial properties of ASX in alleviationof cognitive functions and reducing neurodegeneration in Wistar rats induced byamyloid-β (1-42) peptides.","Taksima, Takunrat, Chonpathompikunlert, Pennapa, Sroyraya, Morakot, Hutamekalin, Pilaiwanwadee, Limpawattana, Maruj, Klaypradit, Wanwimol",2019,Marine drugs,2
32481,TA048687,10.1038/s41598-018-37156-8,Isophorone derivatives as a new structural motif of aggregation pheromones inCurculionidae.,"The beetle Homalinotus depressus (Coleoptera: Curculionidae) is a major pest ofcoconuts in the Northern region of Brazil, for which environmentally friendlymethods of control are desired. Behavioral responses of H. depressus to airbornevolatile extracts from conspecifics suggested the presence of a male-producedaggregation pheromone. GC analyses of these extracts showed the presence of fourmale-specific compounds. Analytical data in combination with the synthesis ofstandards led to the identification of the male-released semiochemicals asepoxyisophorone (1), isophorone (2), homalinol (3), and 2-hydroxyisophorone (4),of which (3) was the major constituent. The configuration of homalinol wasdetermined to be cis on the basis of retention times of synthetic cis and transsynthetic standards. Enantiomers of cis-homalinol were obtained in highenantiomeric excess by using biocatalysis. Their separation on a GCenantioselective column (β-Dex325®), allowed us to unambiguously determine thatthe absolute configuration of natural homalinol was (1R,2R,6S). Field bioassaysdemonstrated that both the synthetic major compound per se and mixtures of allfour male-specific compounds were attractive to H. depressus.","Vidal, Diogo Montes, Moreira, Marcos Antonio Barbosa, Coracini, Miryan Denise Araujo, Zarbin, Paulo Henrique Gorgatti",2019,Scientific reports,2
32563,TA048769,10.12659/MSM.914244,"Antiproliferative Effects of Matricine in Gemcitabine-Resistant Human PancreaticCarcinoma Cells Are Mediated via Mitochondrial-Mediated Apoptosis, Inhibition ofCell Migration, Invasion Suppression, and Mammalian Target of Rapamycin(mTOR)-TOR/PI3K/AKT Signalling Pathway.","BACKGROUND Pancreatic cancer is a major cause of mortality worldwide. Inefficientdrugs, their adverse effects, and the development of drug resistance make itdifficult to curb the growing incidence of pancreatic cancer. Against thisbackdrop, the development new drug regimens with no or negligible adverse effectsis imperative. We assessed the anticancer effects of a plant-derivedsesquiterpene - matricine - against capan-2 pancreatic cancer cells. MATERIAL ANDMETHODS Cell viability was determined by MTT assay. AO/EB, DAPI, and annexin V/PIstaining were used to detect apoptosis. Transwell assays were used for monitoringof cell migration and invasion. Immunoblotting was used to examine the expressionof proteins. RESULTS The results showed that matricine halted the proliferationof capan-2 cells, with minimal toxic effects on normal pancreatic cells. Theanticancer effects were due to the induction of apoptotic cell death, which wasallied with activation of caspases 3 and 9, upregulation of Bax, anddownregulation of Bcl-2. Moreover, matricine suppressed the migration andinvasive abilities of pancreatic cancer cells at IC50. We also assessed theeffects of matricine on the mTOR/PI3K/AKT signalling pathway. We found thatmatricine efficiently blocked this pathway, suggesting the anticancer potentialof matricine. CONCLUSIONS Matricine induced antiproliferative effects in capan-2human pancreatic cancer cells through inducing apoptosis, caspase activation,inhibition of cell migration and invasion, and blocking the mTOR/PI3K/AKTsignalling pathway.","Fang, Kaifeng, Wang, Li, Chen, LuJia, Liu, Tao, Fang, Zhi",2019,Medical science monitor : international medical journal of experimental andclinical research,2
32609,TA048815,10.31557/APJCP.2019.20.2.563,Anti-Proliferative Activity of Triterpenes Isolated from Clinicanthus nutans onHep-G2 Liver Cancer Cells.,"Problem statement: Clinicanthus nutans has been used by Malaysian since long timeago. It is used to treat many diseases including cancer. Many studies carried outon its crude extract but no clear report on the specific secondary metabolitesresponsible for its nature in treating selected diseases. Objective: This studyaims to confirm the practice carried out by many people on the usage ofClinicanthus nutans in treating cancer. Methods: C. nutans leaves were extractedby methanol. Thin layer chromatography was used to identify the suitable solventfor fractions separation. The fractions were then separated at larger volumeusing gravity column chromatography. Each fraction was tested on itsanti-proliferative activity on Hep-G2 liver cancer cells by MTT assay. Thephytochemical screening was carried out to identify the bioactive compound basedon qualitative analysis. Results: The fraction 2 (F2) of C. nutans showed thelowest IC50 value of 1.73 μg/ml against Hep-G2 cancer cells, and it is identifiedas triterpenes. Conclusion: The fraction F2 identified as triterpenes isolatedfrom C. nutans has potential as an anti-proliferative agent against liver cancer.","Zakaria, Khairun Najwa, Amid, Azura, Zakaria, Zubaidah, Jamal, Parveen, Ismail, Azli",2019,Asian Pacific journal of cancer prevention : APJCP,2
32956,TA049162,10.1186/s12864-017-3991-0,"Use of genotyping-by-sequencing to determine the genetic structure in themedicinal plant chamomile, and to identify flowering time and alpha-bisabololassociated SNP-loci by genome-wide association mapping.","BACKGROUND: Chamomile (Matricaria recutita L.) has a long history of use inherbal medicine with various applications, and the flower heads contain numeroussecondary metabolites which are medicinally active. In the major crop plants,next generation sequencing (NGS) approaches are intensely applied to exploitgenetic resources, to develop genomic resources and to enhance breeding. Here,genotyping-by-sequencing (GBS) has been used in the non-model medicinal plantchamomile to evaluate the genetic structure of the cultivatedvarieties/populations, and to perform genome wide association study (GWAS)focusing on genes with large effect on flowering time and the medicinallyimportant alpha-bisabolol content. RESULTS: GBS analysis allowed theidentification of 6495 high-quality SNP-markers in our panel of 91 M. recutitaplants from 33 origins (2-4 genotypes each) and 4 M. discoidea plants asoutgroup, grown in the greenhouse in Gatersleben, Germany. M. recutita proved tobe clearly distinct from the outgroup, as was demonstrated by different clusterand principal coordinate analyses using the SNP-markers. Chamomile genotypes fromthe same origin were mostly genetically similar. Model-based cluster analysisrevealed one large group of tetraploid genotypes with low genetic differentiationincluding 39 plants from 14 origins. Tetraploids tended to display lower geneticdiversity than diploids, probably reflecting their origin by artificialpolyploidisation from only a limited set of genetic backgrounds. Analyses offlowering time demonstrated that diploids generally flowered earlier thantetraploids, and the analysis of alpha-bisabolol identified several tetraploidgenotypes with a high content. GWAS identified highly significant (P < 0.01) SNPsfor flowering time (9) and alpha-bisabolol (71). One sequence harbouring SNPsassociated with flowering time was described to play a role in self-pollinationin Arabidopsis thaliana, whereas four sequences harbouring SNPs associated withalpha-bisabolol were identified to be involved in plant biotic and abiotic stressresponse in various plants species. CONCLUSIONS: The first genomic resource forfuture applications to enhance breeding in chamomile was created, andanalyses ofdiversity will facilitate the exploitation of these genetic resources. The GWASdata pave the way for future research towards the genetics underlying importanttraits in chamomile, the identification of marker-trait associations, anddevelopment of reliable markers for practical breeding.","Otto, Lars-Gernot, Mondal, Prodyut, Brassac, Jonathan, Preiss, Susanne, Degenhardt, Jörg, He, Sang, Reif, Jochen Christoph, Sharbel, Timothy Francis",2017,BMC genomics,2
33066,TA049273,10.1371/journal.pone.0186020,Phytochemical residue profiles in rice grains fumigated with essential oils forthe control of rice weevil.,"In the present study, we investigated the fumigant potential of five edibleessential oils (EOs) against Sitophilus oryzae and their phytochemical residuesin treated grains. Among the tested EOs, peppermint oil proved significantlyeffective (P ≤ 0.05) on S.oryzae at 400 μl/L air concentration, inducing 83 and100% mortalities in with-food and without-food conditions respectively over 72 hexposure. In addition, it was also observed that the binary mixtures ofpeppermint + lemon oil (1:1 ratio) produced an equivalent effect to that ofpeppermint oil alone treatments. The phytochemical residue analysis by GC-MSrevealed the presence of six compounds upon 72 h exposure to EOs. Further, theanalysis of physico-chemical properties of the compounds indicated a positivecorrelation between polar surface area (PSA) and its residual nature. The residuelevels of eugenol were significantly elevated corresponding to its high PSA value(29) in clove and cinnamon oils. On the other hand, the compounds with zero PSAvalue imparted very less or no (D-Limonene, caryophyllene, pinene andterpinolene) residues in treated grains. With respect to the most activepeppermint oil, L-menthone, menthyl acetate and eucalyptol residues were at 67,41 and 23% levels respectively. The outcome of the present study indicate thepeppermint oil as a potent fumigant against S. oryzae, and although the residuesof phytochemicals in treated grains is higher; they belong to the generallyrecognised as safe (GRAS) status leaving no harmful effect.","Vendan, S Ezhil, Manivannan, S, Sunny, Anila M, Murugesan, R",2017,PloS one,2
